 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4
188,955,138.287,-74,988,1091,225.501,-22,1497,364,157.734,-29,1268,3658,107.824,-134,1094
189,955,150.330,-30,879,1091,214.484,-69,1209,364,154.984,-6,1369,3658,107.537,-66,1202
190,955,180.459,-28,1192,1091,226.946,-46,1344,364,164.019,-59,1713,3658,106.625,-65,1354
191,955,154.755,-4,1154,1091,222.163,-92,1458,364,153.626,-24,1391,3658,107.645,-81,1179
192,955,132.913,-94,1206,1091,240.565,-34,1209,364,165.525,-69,1481,3658,107.274,-61,1242
193,955,132.959,-49,903,1091,257.637,-26,1183,364,158.786,-47,1409,3658,106.875,-47,1181
194,955,130.791,-44,928,1091,232.495,-9,1444,364,155.429,-100,1743,3658,105.019,-55,1390
195,955,134.092,-53,902,1091,258.467,-39,1339,364,158.747,-23,1628,3658,107.476,-37,1043
196,955,144.120,-56,1272,1091,233.348,-57,1274,364,160.602,-89,1654,3658,106.872,-61,1169
197,955,150.842,-64,983,1091,243.786,-49,1063,364,171.365,-52,1428,3658,105.663,-44,1235
198,955,169.162,-21,1048,1091,222.970,-134,1219,364,160.755,-32,1657,3658,110.218,-68,1471
199,955,142.224,-24,972,1091,218.694,-15,1171,364,156.016,-57,1702,3658,106.564,-89,1072
200,955,154.286,-54,1389,1091,227.699,-15,1096,364,155.852,-36,1740,3658,106.692,-81,1096
201,955,138.065,-21,882,1091,222.081,-27,1379,364,139.497,-66,1476,3658,104.768,-104,1066
202,955,135.321,-16,1150,1091,228.202,-49,1145,364,160.327,-118,1913,3658,195.051,-32,1212
203,955,195.605,-11,1030,1091,276.259,-32,1264,364,189.585,-168,1573,3658,161.492,-37,1391
204,955,168.247,-16,887,1091,259.126,-15,1225,364,175.563,-36,1666,3658,126.799,-56,1364
205,955,154.186,-19,1066,1091,230.598,-21,1301,364,164.124,-50,1638,3658,114.663,-90,1088
206,955,148.957,-35,1014,1091,219.412,-105,1111,364,157.151,-23,1539,3658,110.558,-52,1101
207,955,157.014,-22,1254,1091,234.621,-49,1284,364,162.604,-33,1743,3658,110.193,-39,1111
208,955,150.111,-39,1118,1091,249.834,-32,1272,364,159.341,-75,1529,3658,109.538,-54,998
209,955,136.851,-22,1085,1091,246.698,-68,1373,364,144.324,-40,1200,3658,109.262,-42,1392
210,955,168.641,-22,1106,1091,264.550,-71,1405,364,161.901,-68,1667,3658,107.205,-30,1084
211,955,141.076,-28,837,1091,226.837,-38,1684,364,163.717,-82,1824,3658,159.656,-39,1477
212,955,209.194,-37,1294,1091,294.744,-21,1710,364,200.341,-18,1815,3658,165.952,-50,1216
213,955,176.401,-36,939,1091,256.421,-13,1359,364,175.761,-61,1670,3658,126.500,-62,1343
214,955,150.276,-25,1105,1091,255.132,-33,1239,364,160.560,-182,1690,3658,116.196,-111,1487
215,955,135.283,-32,993,1091,223.932,-41,1528,364,156.352,-124,1845,3658,109.484,-60,1492
216,955,136.412,-40,1051,1091,214.150,-27,1570,364,165.547,-54,1870,3658,111.212,-62,1215
217,955,128.906,-83,975,1091,216.269,-25,1192,364,155.599,-31,1269,3658,108.268,-94,1552
218,955,130.251,-73,1010,1091,220.429,-72,1300,364,164.203,-48,1926,3658,108.089,-75,1364
219,955,172.152,-44,1174,1091,235.114,-55,1335,364,158.997,-13,1734,3658,109.779,-94,1323
220,955,154.216,-54,1182,1091,232.473,-64,1365,364,161.451,-64,1555,3658,106.185,-47,1175
221,955,200.115,-44,1201,1091,289.147,-20,1280,364,214.712,-20,1620,3658,174.039,-54,1581
222,955,172.602,-29,1044,1091,263.796,-81,1278,364,166.948,-26,1809,3658,126.027,-35,1393
223,955,156.882,-33,1307,1091,227.634,-41,1570,364,155.332,0,1621,3658,114.801,-70,1358
224,955,142.291,-25,814,1091,211.491,-28,1319,364,160.118,-52,1977,3658,111.752,-71,1503
225,955,155.731,-28,1418,1091,249.909,-53,1305,364,157.168,-115,1565,3658,109.340,-28,1221
226,955,132.161,-36,899,1091,244.377,-70,1173,364,164.522,-64,1390,3658,107.879,-75,1122
227,955,134.956,-48,841,1091,224.158,-42,1304,364,162.635,-87,1675,3658,108.582,-44,1142
228,955,132.303,-32,963,1091,211.435,-67,1894,364,158.547,-46,1628,3658,107.668,-65,1203
229,955,133.620,-21,879,1091,244.671,-46,1548,364,152.154,-53,1840,3658,109.698,-51,1046
230,955,137.181,-50,837,1091,236.522,-34,1214,364,226.250,-38,1796,3658,184.364,-46,1053
231,955,175.049,-27,1172,1091,290.677,0,1455,364,172.860,-85,1363,3658,124.581,-59,1261
232,955,160.691,-28,1059,1091,253.737,-28,1308,364,153.791,-46,1217,3658,114.124,-102,1012
233,955,137.724,-66,1028,1091,253.376,-30,1538,364,151.654,-35,1598,3658,111.878,-64,1408
234,955,130.650,-48,907,1091,247.622,-10,1169,364,161.503,-24,1475,3658,108.178,-100,1395
235,955,173.162,-18,1110,1091,249.345,-28,1151,364,154.709,-44,1324,3658,106.554,-64,1166
236,955,143.192,-26,960,1091,255.401,-12,1163,364,158.500,-84,1610,3658,106.647,-38,1129
237,955,132.465,-58,863,1091,246.112,-68,1521,364,162.931,-50,1866,3658,106.673,-62,1423
238,955,129.476,-43,977,1091,231.552,-45,1258,364,159.330,-88,1347,3658,107.087,-41,1167
239,955,130.288,-76,889,1091,209.962,-30,1117,364,202.766,-17,1481,3658,195.036,-84,1597
240,955,183.601,-42,963,1091,248.459,-37,1257,364,174.808,-33,1724,3658,135.768,-80,1118
241,955,168.809,-31,1181,1091,242.585,-93,1703,364,161.011,-36,1561,3658,118.031,-64,1197
242,955,140.524,-8,1117,1091,262.282,-9,1356,364,159.044,-74,1421,3658,112.312,-73,1371
243,955,148.755,-33,941,1091,264.739,-50,1336,364,160.343,-15,1556,3658,108.245,-60,1000
244,955,134.111,-6,952,1091,246.084,-22,1479,364,158.753,-55,1488,3658,107.607,-63,1184
245,955,140.508,-20,1016,1091,233.918,-61,1471,364,153.277,-69,1728,3658,107.560,-58,1152
246,955,136.555,-56,915,1091,232.297,-25,1551,364,156.549,-39,1290,3658,108.806,-64,1170
247,955,129.888,-52,1002,1091,236.947,-43,1373,364,147.984,-62,1233,3658,104.037,-68,1060
248,955,137.909,-51,1117,1091,240.856,-48,1176,364,149.918,-67,1814,3658,177.689,-45,1423
249,955,192.583,-60,1022,1091,306.285,-37,1378,364,178.423,-25,1708,3658,140.204,-53,1281
250,955,156.041,-42,1076,1091,279.954,-24,1358,364,153.775,-27,1420,3658,117.815,-38,1078
251,955,140.321,-44,949,1091,244.428,-35,1197,364,160.470,-46,1839,3658,110.651,-64,1400
252,955,146.246,-22,999,1091,226.231,-24,1663,364,160.091,-15,1790,3658,110.525,-61,1067
253,955,135.910,-53,1205,1091,237.593,-31,1520,364,156.846,-18,1872,3658,108.068,-40,1168
254,955,128.810,-53,1030,1091,224.357,-44,1194,364,158.621,-76,1580,3658,108.125,-70,1152
255,955,145.571,-23,1069,1091,222.297,-63,1279,364,151.475,-29,1845,3658,104.498,-55,1073
256,955,131.759,-21,806,1091,210.179,-17,1345,364,154.832,-66,1446,3658,104.534,-55,1409
257,955,145.894,-27,844,1091,222.104,-24,1283,364,151.527,-14,1727,3658,147.911,-65,1740
